"id","question_id","question_number","category","difficulty","domain","question_text","options","correct_answer","explanation","explanation_details","multiple_answers","correct_answers"
33,33,33,"Operations - Scaling","Knowledge","Cloud Operations and Support","Which scaling trigger would be most appropriate for a CPU-intensive application?","[{""text"": ""B) Network bandwidth"", ""isCorrect"": false}, {""text"": ""A) Memory utilization"", ""isCorrect"": false}, {""text"": ""D) Storage capacity"", ""isCorrect"": false}, {""text"": ""C) CPU utilization"", ""isCorrect"": true}]","C) CPU utilization","CPU-intensive applications should scale based on CPU utilization metrics to ensure adequate processing power.","{""summary"": ""Scaling trigger selection:"", ""breakdown"": [""CPU utilization for compute-intensive workloads"", ""Memory utilization for memory-intensive applications"", ""Network bandwidth for high-throughput applications"", ""Custom metrics for application-specific needs""], ""otherOptions"": ""A) Memory not primary bottleneck for CPU-intensive apps\nB) Network may not be bottleneck\nD) Storage not relevant for CPU-intensive scaling""}","0",NULL
34,34,34,"Operations - Monitoring","Knowledge","Cloud Operations and Support","Which type of monitoring provides insights into application performance and user experience?","[{""text"": ""D) Security monitoring"", ""isCorrect"": false}, {""text"": ""C) Network monitoring"", ""isCorrect"": false}, {""text"": ""B) Application Performance Monitoring (APM)"", ""isCorrect"": true}, {""text"": ""A) Infrastructure monitoring"", ""isCorrect"": false}]","B) Application Performance Monitoring (APM)","APM focuses on application behavior, response times, and user experience metrics.","{""summary"": ""APM monitoring includes:"", ""breakdown"": [""Application response times and throughput"", ""Error rates and exception tracking"", ""User experience and transaction traces"", ""Code-level performance insights""], ""otherOptions"": ""A) Infrastructure monitors servers and resources\nC) Network monitoring focuses on connectivity\nD) Security monitoring tracks threats and vulnerabilities""}","0",NULL
35,35,35,"Operations - Monitoring","Comprehension","Cloud Operations and Support","What is the primary purpose of distributed tracing in microservices architecture?","[{""text"": ""D) Measure network latency"", ""isCorrect"": false}, {""text"": ""A) Monitor individual service performance"", ""isCorrect"": false}, {""text"": ""C) Collect application logs"", ""isCorrect"": false}, {""text"": ""B) Track requests across multiple services"", ""isCorrect"": true}]","B) Track requests across multiple services","Distributed tracing tracks request paths through multiple services, identifying bottlenecks and failures.","{""summary"": ""Distributed tracing benefits:"", ""breakdown"": [""Visualizes request journey across microservices"", ""Identifies latency bottlenecks in service chain"", ""Correlates spans across distributed components"", ""Enables root cause analysis for performance issues""], ""otherOptions"": ""A) That's service-level monitoring\nC) That's log aggregation\nD) That's network monitoring""}","0",NULL
36,36,36,"Operations - Monitoring","Application","Cloud Operations and Support","Your application is experiencing intermittent performance issues. Which observability practice would best help trace the request flow through your microservices architecture?","[{""text"": ""A) Log aggregation"", ""isCorrect"": false}, {""text"": ""D) Alert configuration"", ""isCorrect"": false}, {""text"": ""C) Distributed tracing"", ""isCorrect"": true}, {""text"": ""B) Metrics monitoring"", ""isCorrect"": false}]","C) Distributed tracing","Distributed tracing tracks request paths through multiple services, identifying bottlenecks and failures.","{""summary"": ""Distributed tracing advantages:"", ""breakdown"": [""Visualizes request journey across microservices"", ""Identifies latency bottlenecks in service chain"", ""Correlates spans across distributed components"", ""Enables root cause analysis for performance issues""], ""otherOptions"": ""A) Logs provide events but not request flow\nB) Metrics show performance but not trace paths\nD) Alerts notify of issues but don't trace flow""}","0",NULL
37,37,37,"Operations - Backup Strategies","Knowledge","Cloud Operations and Support","Which backup type only captures changes made since the last full backup?","[{""text"": ""D) Snapshot backup"", ""isCorrect"": false}, {""text"": ""C) Differential backup"", ""isCorrect"": true}, {""text"": ""B) Incremental backup"", ""isCorrect"": false}, {""text"": ""A) Full backup"", ""isCorrect"": false}]","C) Differential backup","Differential backups capture all changes since the last full backup, not since the last backup of any type.","{""summary"": ""Differential backup characteristics:"", ""breakdown"": [""Captures changes since last full backup"", ""Faster than full backup, slower than incremental"", ""Requires only full backup + latest differential for restore"", ""Size grows until next full backup""], ""otherOptions"": ""A) Full backup captures everything\nB) Incremental captures changes since last backup\nD) Snapshot is point-in-time image""}","0",NULL
38,38,38,"Operations - Backup Strategies","Application","Cloud Operations and Support","Your organization has an RPO of 4 hours for a critical database. The database receives constant updates throughout business hours. Which backup strategy best meets this requirement?","[{""text"": ""C) Full backup weekly with 4-hour incremental backups"", ""isCorrect"": true}, {""text"": ""B) Weekly full backups with daily differentials"", ""isCorrect"": false}, {""text"": ""D) Monthly full backups with weekly incrementals"", ""isCorrect"": false}, {""text"": ""A) Daily full backups at midnight"", ""isCorrect"": false}]","C) Full backup weekly with 4-hour incremental backups","Incremental backups every 4 hours ensure data loss is limited to the RPO requirement of 4 hours.","{""summary"": ""Backup strategy for 4-hour RPO:"", ""breakdown"": [""Incremental backups every 4 hours meet RPO exactly"", ""Weekly full backups provide baseline restore point"", ""Captures all changes within acceptable data loss window"", ""Balances storage efficiency with recovery requirements""], ""otherOptions"": ""A) Daily backups allow up to 24 hours data loss\nB) Daily differentials still allow 24 hours data loss\nD) Weekly incrementals allow up to 7 days data loss""}","0",NULL
39,39,39,"Operations - Backup Strategies","Comprehension","Cloud Operations and Support","What is the primary advantage of incremental backups over full backups?","[{""text"": ""B) Better data compression"", ""isCorrect"": false}, {""text"": ""C) Less storage space and faster backup time"", ""isCorrect"": true}, {""text"": ""D) Higher reliability"", ""isCorrect"": false}, {""text"": ""A) Faster restore times"", ""isCorrect"": false}]","C) Less storage space and faster backup time","Incremental backups only capture changes since the last backup, requiring less storage and time.","{""summary"": ""Incremental backup advantages:"", ""breakdown"": [""Only backs up changed data since last backup"", ""Significantly less storage space required"", ""Faster backup execution time"", ""Reduced network bandwidth usage""], ""otherOptions"": ""A) Restore times are actually slower\nB) Compression depends on backup software\nD) Reliability depends on backup chain integrity""}","0",NULL
40,40,40,"Security - IAM","Application","Cloud Security","A developer needs temporary access to debug a production issue in a specific S3 bucket. What is the most secure approach following the principle of least privilege?","[{""text"": ""D) Share root account credentials"", ""isCorrect"": false}, {""text"": ""C) Create time-limited IAM role with bucket-specific permissions"", ""isCorrect"": true}, {""text"": ""A) Add developer to administrators group"", ""isCorrect"": false}, {""text"": ""B) Create IAM user with permanent S3 full access"", ""isCorrect"": false}]","C) Create time-limited IAM role with bucket-specific permissions","Time-limited IAM roles with specific permissions minimize security exposure while providing necessary access.","{""summary"": ""Secure temporary access principles:"", ""breakdown"": [""Time-bound access that automatically expires"", ""Scope limited to specific resources needed"", ""No permanent credentials to manage"", ""Audit trail of role assumption""], ""otherOptions"": ""A) Administrative access violates least privilege\nB) Permanent access creates long-term security risk\nD) Root credentials should never be shared""}","0",NULL
41,41,41,"Security - IAM","Comprehension","Cloud Security","What is the primary difference between Role-Based Access Control (RBAC) and Attribute-Based Access Control (ABAC)?","[{""text"": ""C) RBAC works with cloud, ABAC works with on-premises"", ""isCorrect"": false}, {""text"": ""D) RBAC is newer technology than ABAC"", ""isCorrect"": false}, {""text"": ""B) RBAC is more secure than ABAC"", ""isCorrect"": false}, {""text"": ""A) RBAC uses job functions, ABAC uses multiple attributes"", ""isCorrect"": true}]","A) RBAC uses job functions, ABAC uses multiple attributes","RBAC assigns permissions based on job roles, while ABAC uses multiple attributes like location, time, and resource sensitivity.","{""summary"": ""RBAC vs ABAC comparison:"", ""breakdown"": [""RBAC: Access based on predefined roles"", ""ABAC: Access based on multiple dynamic attributes"", ""RBAC: Simpler to implement and manage"", ""ABAC: More flexible and granular control""], ""otherOptions"": ""B) Security depends on implementation\nC) Both work in cloud and on-premises\nD) ABAC is actually newer than RBAC""}","0",NULL
42,42,42,"Security - IAM","Knowledge","Cloud Security","Which authentication method provides the highest level of security for cloud access?","[{""text"": ""C) Single sign-on (SSO)"", ""isCorrect"": false}, {""text"": ""B) Multi-factor authentication (MFA)"", ""isCorrect"": true}, {""text"": ""D) API keys"", ""isCorrect"": false}, {""text"": ""A) Username and password only"", ""isCorrect"": false}]","B) Multi-factor authentication (MFA)","MFA requires multiple authentication factors, significantly increasing security by requiring something you know, have, or are.","{""summary"": ""MFA security benefits:"", ""breakdown"": [""Requires multiple authentication factors"", ""Protects against credential theft"", ""Combines knowledge, possession, and inherence factors"", ""Significantly reduces unauthorized access risk""], ""otherOptions"": ""A) Single factor is easily compromised\nC) SSO is about convenience, not necessarily security\nD) API keys are single factor""}","0",NULL
